subject_id,session_id,signal,source_rows,start_time,end_time,duration_seconds,expected_sampling_rate_hz,observed_sampling_rate_hz,sampling_rate_valid,invalid_value_count,source_file,issue
S10,S10,EDA,6630,2013-02-23 18:03:27+00:00,2013-02-23 18:31:04.250000+00:00,1657.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S10/EDA.csv,None
S10,S10,ACC,53064,2013-02-23 18:03:27+00:00,2013-02-23 18:31:05.218750+00:00,1658.21875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S10/ACC.csv,None
S11,S11,HR,1392,2013-02-24 09:51:55+00:00,2013-02-24 10:15:06+00:00,1391.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S11/HR.csv,None
S11,S11,EDA,5604,2013-02-24 09:51:45+00:00,2013-02-24 10:15:05.750000+00:00,1400.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S11/EDA.csv,None
S11,S11,ACC,44838,2013-02-24 09:51:45+00:00,2013-02-24 10:15:06.156250+00:00,1401.15625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S11/ACC.csv,None
S12,S12,HR,1594,2013-02-24 10:26:46+00:00,2013-02-24 10:53:19+00:00,1593.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S12/HR.csv,None
S12,S12,EDA,6414,2013-02-24 10:26:36+00:00,2013-02-24 10:53:19.250000+00:00,1603.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S12/EDA.csv,None
S12,S12,ACC,51306,2013-02-24 10:26:36+00:00,2013-02-24 10:53:19.281250+00:00,1603.28125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S12/ACC.csv,None
S13,S13,HR,1614,2013-02-24 17:05:54+00:00,2013-02-24 17:32:47+00:00,1613.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S13/HR.csv,None
S13,S13,EDA,6492,2013-02-24 17:05:44+00:00,2013-02-24 17:32:46.750000+00:00,1622.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S13/EDA.csv,None
S13,S13,ACC,51948,2013-02-24 17:05:44+00:00,2013-02-24 17:32:47.343750+00:00,1623.34375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S13/ACC.csv,None
S14,S14,HR,1676,2013-02-24 17:37:51+00:00,2013-02-24 18:05:46+00:00,1675.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S14/HR.csv,None
S14,S14,EDA,6744,2013-02-24 17:37:41+00:00,2013-02-24 18:05:46.750000+00:00,1685.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S14/EDA.csv,None
S14,S14,ACC,53940,2013-02-24 17:37:41+00:00,2013-02-24 18:05:46.593750+00:00,1685.59375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S14/ACC.csv,None
S15,S15,HR,1624,2013-02-25 11:36:09+00:00,2013-02-25 12:03:12+00:00,1623.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S15/HR.csv,None
S15,S15,EDA,6534,2013-02-25 11:35:59+00:00,2013-02-25 12:03:12.250000+00:00,1633.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S15/EDA.csv,None
S15,S15,ACC,52266,2013-02-25 11:35:59+00:00,2013-02-25 12:03:12.281250+00:00,1633.28125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S15/ACC.csv,None
S16,S16,HR,1654,2013-02-25 14:16:04+00:00,2013-02-25 14:43:37+00:00,1653.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S16/HR.csv,None
S16,S16,EDA,6654,2013-02-25 14:15:54+00:00,2013-02-25 14:43:37.250000+00:00,1663.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S16/EDA.csv,None
S16,S16,ACC,53226,2013-02-25 14:15:54+00:00,2013-02-25 14:43:37.281250+00:00,1663.28125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S16/ACC.csv,None
S17,S17,HR,1601,2013-02-25 18:40:18+00:00,2013-02-25 19:06:58+00:00,1600.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S17/HR.csv,None
S17,S17,EDA,6444,2013-02-25 18:40:08+00:00,2013-02-25 19:06:58.750000+00:00,1610.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S17/EDA.csv,None
S17,S17,ACC,51546,2013-02-25 18:40:08+00:00,2013-02-25 19:06:58.781250+00:00,1610.78125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S17/ACC.csv,None
S18,S18,HR,1621,2013-02-25 19:17:46+00:00,2013-02-25 19:44:46+00:00,1620.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S18/HR.csv,None
S18,S18,EDA,6522,2013-02-25 19:17:36+00:00,2013-02-25 19:44:46.250000+00:00,1630.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S18/EDA.csv,None
S18,S18,ACC,52188,2013-02-25 19:17:36+00:00,2013-02-25 19:44:46.843750+00:00,1630.84375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S18/ACC.csv,None
f01,f01,HR,3243,2013-06-12 16:19:08+00:00,2013-06-12 17:13:10+00:00,3242.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f01/HR.csv,None
f01,f01,EDA,13008,2013-06-12 16:18:58+00:00,2013-06-12 17:13:09.750000+00:00,3251.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f01/EDA.csv,None
f01,f01,ACC,104070,2013-06-12 16:18:58+00:00,2013-06-12 17:13:10.156250+00:00,3252.15625,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f01/ACC.csv,None
f02,f02,HR,2966,2013-06-12 17:26:35+00:00,2013-06-12 18:16:00+00:00,2965.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f02/HR.csv,None
f02,f02,EDA,11904,2013-06-12 17:26:25+00:00,2013-06-12 18:16:00.750000+00:00,2975.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f02/EDA.csv,None
f02,f02,ACC,95208,2013-06-12 17:26:25+00:00,2013-06-12 18:16:00.218750+00:00,2975.21875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/f02/ACC.csv,None
f03,f03,HR,3586,2013-06-12 18:28:52+00:00,2013-06-12 19:28:37+00:00,3585.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/f03/HR.csv,None
f03,f03,EDA,14388,2013-06-12 18:28:42+00:00,2013-06-12 19:28:38.750000+00:00,3596.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/f03/EDA.csv,None
